Part_Number,Organization,WIP,Coldhead_Serial_Number,Temps,Arrival_Date,Teardown_Date,Test_Date,Date_Closed,depart_date,status
300388D.002,,225566,J03490,,2018-05-07 00:00:00,,2018-05-17 00:00:00,2018-05-22 00:00:00,2018-05-25 00:00:00,Closed
300388D.002,RCZ,216238,J03089,,2017-02-07T08:00:00,,2017-02-27 00:00:00,2017-03-03 00:00:00,2017-03-01 00:00:00,Closed
300388D.002,RCZ,217996,J03089,,2017-05-01T08:00:00,,,,,Closed
300388D.002,,225643,J03669,,2018-05-11 00:00:00,,2018-06-05 00:00:00,2018-06-07 00:00:00,2018-06-08 00:00:00,Closed
300388D.002,RCF,225886,J01639,,2018-05-21T07:00:00,,2018-06-05 00:00:00,2018-06-07 00:00:00,2018-06-08 00:00:00,Closed
300388D.002,,217370,SJ03190(1),,2017-03-31 00:00:00,,2017-04-13 00:00:00,2017-04-14 00:00:00,2017-04-14 00:00:00,Closed
300388D.002,,220114,J03190(2),,2017-08-08 00:00:00,,2017-09-13 00:00:00,2017-09-20 00:00:00,2017-09-20 00:00:00,Closed
300388D.002,,223280,J03190(3),,2018-01-26 00:00:00,,2018-06-07 00:00:00,2018-06-13 00:00:00,2018-06-15 00:00:00,Closed
300388D.002,RCZ,225845,J00263,,2018-05-17T07:00:00,,2018-06-06 00:00:00,2018-06-13 00:00:00,2018-06-15 00:00:00,Closed
300388D.002,RCZ,225847,J01200,,2018-05-17T07:00:00,,2018-06-06 00:00:00,2018-06-13 00:00:00,2018-06-15 00:00:00,Closed
300388D.002,,33869,J01710(1),,2014-04-16 00:00:00,,2014-05-08 00:00:00,2014-05-13 00:00:00,2014-05-14 00:00:00,Closed
300388D.002,,221073,J01710(2),,2017-09-21 00:00:00,,2017-09-26 00:00:00,2017-09-28 00:00:00,2017-09-28 00:00:00,Closed
300388D.002,,223105,J01710(3),,2018-01-26 00:00:00,,,2018-11-17 00:00:00,2018-03-20 00:00:00,Closed
300388D.002,,29456,J03416,,2013-08-02 00:00:00,,2013-10-02 00:00:00,2013-10-11 00:00:00,2013-10-16 00:00:00,Closed
300388D.002,,UNKNOWN,J03416,,,,,2018-06-21 00:00:00,,
300388D.002,,226424,J03624,,2018-06-14 00:00:00,,2018-09-11 00:00:00,2018-09-11 00:00:00,2018-10-05 00:00:00,Closed
300388D.002,RCZ,226425,J02929,,2018-06-14T07:00:00,,2019-09-06 00:00:00,2019-09-12 00:00:00,2018-09-14 00:00:00,Closed
300388D.002,,217992,J01259(1),,2017-05-03 00:00:00,,2017-08-25 00:00:00,2017-08-29 00:00:00,2017-08-29 00:00:00,Closed
300388D.002,,226426,J01259(2),,2018-06-14 00:00:00,,2018-09-06 00:00:00,2018-09-12 00:00:00,2018-09-14 00:00:00,Closed
300388D.002,,221931,J02008(1),,2017-11-03 00:00:00,,2017-12-01 00:00:00,2017-12-07 00:00:00,2017-12-08 00:00:00,Closed
300388D.002,,225177,J02008(2),,2018-04-11 00:00:00,,2018-04-20 00:00:00,2018-05-03 00:00:00,2018-05-04 00:00:00,Closed
300388D.002,,226606,J02008(3),,2018-06-18 00:00:00,,2018-09-24 00:00:00,2018-09-27 00:00:00,2018-09-28 00:00:00,Closed
300388D.002,,40700,J02759(1),,2015-04-24 00:00:00,,2015-05-07 00:00:00,2015-05-12 00:00:00,2015-05-12 00:00:00,Closed
300388D.002,,226656,J02759(2),,2018-06-28 00:00:00,,2018-09-29 00:00:00,2018-10-01 00:00:00,,Closed
300388D.002,RCZ,219817,J01394,,2017-07-21T08:00:00,,2017-09-11 00:00:00,2017-09-18 00:00:00,2017-09-20 00:00:00,Closed
300388D.002,RCZ,226657,J01394,,2018-06-28T08:00:00,,2018-09-29 00:00:00,2018-10-02 00:00:00,,Closed
300388D.002,RCZ,227186,J02520,,2018-08-07T08:00:00,,2018-10-01 00:00:00,2018-10-04 00:00:00,2018-10-05 00:00:00,Closed
300388D.002,RCZ,131089,J02587,,2016-09-14T08:00:00,,2016-10-31 00:00:00,2017-01-13 00:00:00,,Closed
300388D.002,,227431,J03248,,2018-08-10 00:00:00,,2018-10-01 00:00:00,2018-10-04 00:00:00,2018-10-05 00:00:00,Closed
300388D.002,,227432,J03884,,2018-08-10 00:00:00,,2018-10-11 00:00:00,2018-10-16 00:00:00,2018-10-19 00:00:00,Closed
300388D.002,,227433,J01711,,2018-08-10 00:00:00,,2018-10-11 00:00:00,2018-10-16 00:00:00,2018-10-19 00:00:00,Closed
300388D.002,,29355,J03281(1),,2013-08-02 00:00:00,,2014-09-29 00:00:00,2014-10-14 00:00:00,2014-10-15 00:00:00,Closed
300388D.002,,221932,J03281(2),,2017-11-03 00:00:00,,2017-12-05 00:00:00,2017-12-07 00:00:00,2017-12-08 00:00:00,Closed
300388D.002,,222985,J03281(3),,2018-01-08 00:00:00,,2018-01-29 00:00:00,2018-02-01 00:00:00,2018-02-02 00:00:00,Closed
300388D.002,,227545,J03281(4),,2018-08-22 00:00:00,,2018-09-24 00:00:00,2018-09-27 00:00:00,2018-09-28 00:00:00,Closed
300388D.002,,227579,J03004,,2018-08-28 00:00:00,,2018-10-03 00:00:00,2018-10-11 00:00:00,2018-10-12 00:00:00,Closed
300388D.002,,223284,J03185(1),,2018-01-26 00:00:00,,2018-02-07 00:00:00,2018-02-13 00:00:00,2019-02-16 00:00:00,Closed
300388D.002,,227581,J03185(2),,2018-08-24 00:00:00,,2018-10-12 00:00:00,2018-10-18 00:00:00,2018-10-28 00:00:00,Closed
300388D.002,,217572,J03510(1),,2017-04-14 00:00:00,,2017-05-02 00:00:00,2017-05-11 00:00:00,2017-05-15 00:00:00,Closed
