Part_Number,Organization,WIP,Coldhead_Serial_Number,Temps,Arrival_Date,Teardown_Date,Test_Date,Date_Closed,depart_date,status
300388D.002,RCZ,240269,J01891,,2020-08-04T08:00:00,,2020-08-27 00:00:00,2020-09-22 00:00:00,2020-09-22 00:00:00,Closed
300388D.002,,240373,SJ03442,,2020-08-12 00:00:00,,2020-08-28 00:00:00,2020-09-22 00:00:00,2020-09-22 00:00:00,Closed
300388D.002,,240741,J02174,,2020-09-02 00:00:00,,2020-10-05 00:00:00,2020-10-06 00:00:00,2020-10-09 00:00:00,Closed
300388D.002,,240271,J03292,,2020-08-27 00:00:00,,2020-10-02 00:00:00,2020-10-06 00:00:00,2020-10-09 00:00:00,Closed
300388D.002,,240723,J03608,,2020-08-27 00:00:00,,2020-10-07 00:00:00,2020-10-06 00:00:00,2020-10-09 00:00:00,CLOSED
300388D.002,,238891,SJ03073,,2020-04-28 00:00:00,,2020-10-06 00:00:00,2020-10-14 00:00:00,2020-10-16 00:00:00,Closed
300388D.002,,240722,J01663,,2020-08-27 00:00:00,,2020-10-07 00:00:00,2020-10-14 00:00:00,2020-10-16 00:00:00,Closed
300388D.002,,241065,J04025,,2020-09-23 00:00:00,,2020-10-08 00:00:00,2020-10-14 00:00:00,2020-10-16 00:00:00,Closed
300388D.002,RCZ,240592,SJ03785,,2020-08-25T08:00:00,,2020-10-13 00:00:00,2020-10-21 00:00:00,2020-10-23 00:00:00,CLOSED
300388D.002,,241457,J04006,,2020-10-06 00:00:00,,2020-10-30 00:00:00,2020-11-04 00:00:00,2020-11-13 00:00:00,Closed
300388D.002,,241246,SJ02477,,2020-09-29 00:00:00,,2020-11-03 00:00:00,2020-11-06 00:00:00,2020-11-13 00:00:00,Closed
300388D.002,RCZ,241458,J01991,,2020-10-06T08:00:00,,2020-11-17 00:00:00,2020-11-18 00:00:00,2020-11-20 00:00:00,Closed
300388D.002,RCZ,241718,J01441,,2020-11-02T09:00:00,,2020-11-18 00:00:00,2020-11-23 00:00:00,2020-12-04 00:00:00,Closed
300388D.002,RCF,241699,J04044,,2020-10-29T08:00:00,,2020-08-18 00:00:00,2020-12-01 00:00:00,2020-12-04 00:00:00,Closed
300388D.002,,235210,J04354,,2019-10-16 00:00:00,,2020-11-28 00:00:00,2020-12-04 00:00:00,2020-12-11 00:00:00,Closed
300388D.002,RCZ,236885,J02453,,2020-01-30T09:00:00,,2020-11-20 00:00:00,2020-12-04 00:00:00,2020-12-11 00:00:00,Closed
300388D.002,RCZ,237737,J01849,,2020-03-03T09:00:00,,2020-11-12 00:00:00,2020-12-15 00:00:00,2020-12-18 00:00:00,Closed
300388D.002,RCZ,236968,J03475,,2020-01-28T09:00:00,,2020-12-03 00:00:00,2020-12-15 00:00:00,2020-12-18 00:00:00,Closed
300388D,,235233,J03413,,2020-10-17 00:00:00,,,2020-12-16 00:00:00,SCRAPPED,Closed
300388D.002,RCZ,239651,J04030,,2020-06-18T08:00:00,,,2020-12-16 00:00:00,SCRAPPED,Closed
300388D.002,RCZ,241551,J03455,,2020-10-14T08:00:00,,2020-12-02 00:00:00,2020-12-16 00:00:00,2020-12-18 00:00:00,Closed
300388D.002,RCZ,240270,J03008,,2020-08-04T08:00:00,,2020-12-03 00:00:00,2020-12-16 00:00:00,2020-12-18 00:00:00,Closed
300388D.002,,241868,J03885,,2020-11-06 00:00:00,,2020-12-10 00:00:00,2020-12-16 00:00:00,2020-12-18 00:00:00,Closed
300388D.002,RCF,242474,J03608,,2020-12-17T09:00:00,,2020-10-07 00:00:00,2020-12-21 00:00:00,2020-12-31 00:00:00,Closed
300388D.002,,242307,SJ03441,,2020-12-05 00:00:00,,2020-12-23 00:00:00,2020-12-29 00:00:00,2020-12-31 00:00:00,Closed
300388D.002,RCZ,242306,J03884,,2020-12-05T09:00:00,,2020-12-22 00:00:00,2020-12-29 00:00:00,2020-12-31 00:00:00,Closed
300388D.002,RCF,242474,J03608,,2020-12-17T09:00:00,,2020-12-21 00:00:00,2021-12-21 00:00:00,2021-03-04 00:00:00,CLOSED
300388D.002,,242635,J03193,,2021-01-07 00:00:00,,2021-03-16 00:00:00,2021-04-15 00:00:00,2021-04-15 00:00:00,CLOSED
300388D.002,RCZ,242633,J03010,,2021-01-08T09:00:00,,2021-04-10 00:00:00,2021-01-08 00:00:00,2021-04-15 00:00:00,CLOSED
300388D.002,RCZ,243274,J01544,,2021-02-06T09:00:00,,2021-04-08 00:00:00,2021-02-06 00:00:00,2021-04-15 00:00:00,CLOSED
300388D.002,RCZ,242634,J04040,,2021-01-07T09:00:00,,2021-04-12 00:00:00,2021-01-07 00:00:00,2021-04-15 00:00:00,CLOSED
300388D.002,,241870,SJ00716,,2020-11-06 00:00:00,,2020-12-30 00:00:00,2020-11-06 00:00:00,2021-04-15 00:00:00,CLOSED
300388D.002,,243527,SJ03784,,2/29/2021,,2021-04-16 00:00:00,2/29/2021,2021-05-05 07:00:00,CLOSED
300388D.002,RCZ,243277,J03942,,2021-02-06T09:00:00,,2021-04-21 00:00:00,2021-02-06 00:00:00,2021-05-05 07:00:00,CLOSED
300388D.002,RCZ,243276,J03263,,2021-02-06T09:00:00,,2021-04-30 00:00:00,2021-02-06 00:00:00,2021-06-05 08:00:00,CLOSED
300388D.002,,242630,J03149,,2021-01-08 00:00:00,,2021-05-05 00:00:00,2021-01-08 00:00:00,2021-06-05 08:00:00,CLOSED
300388D.002,RCZ,243963,J02838,,2021-03-15T08:00:00,,2021-05-20 00:00:00,2021-03-15 00:00:00,2021-06-05 08:00:00,CLOSED
300388D.002,,243528,SJ03943,,2021-02-19 00:00:00,,2021-05-20 00:00:00,2021-02-19 00:00:00,2021-06-05 08:00:00,CLOSED
300388D.002,RCZ,243964,J02527,,2021-03-15T08:00:00,,2021-05-28 00:00:00,2021-03-15 00:00:00,2021-06-29 08:00:00,CLOSED
300388D.002,RCZ,244376,J03248,,2021-04-06T08:00:00,,2021-06-08 00:00:00,2021-04-06 00:00:00,2021-06-29 08:00:00,CLOSED
300388D.002,RCF,244638,J04044,,2021-04-15T07:00:00,,2021-06-09 00:00:00,2021-04-15 00:00:00,,CLOSED
300388D.002,,243275,J03197,,2021-02-06 00:00:00,,2021-05-21 00:00:00,2021-02-06 00:00:00,2021-06-05 08:00:00,CLOSED
300388D.002,RCZ,242632,J03148,,2021-01-08T09:00:00,,2021-04-29 00:00:00,2021-01-08 00:00:00,2021-06-05 08:00:00,CLOSED
300388D.002,RCF,244650,J04025,,2021-04-15T07:00:00,,2021-06-14 00:00:00,2021-04-15 00:00:00,2021-06-29 08:00:00,CLOSED
300388D.002,RCZ,244109,J03528,,2021-03-23T08:00:00,,2021-07-09 00:00:00,2021-03-23 00:00:00,2021-08-13 08:00:00,CLOSED
300388D.002,RCZ,244286,J02520,,2021-03-30T08:00:00,,2021-07-15 00:00:00,2021-03-30 00:00:00,2021-08-13 08:00:00,CLOSED
300388D.002,RCZ,244984,J02075,,2021-04-27T07:00:00,,2021-08-16 00:00:00,2021-04-27 00:00:00,2021-09-03 00:00:00,CLOSED
300388D.002,RCZ,245359,SJ02455,,2021-05-12T07:00:00,,2021-08-24 00:00:00,2021-05-12 00:00:00,2021-09-17 00:00:00,CLOSED
300388D.002,,245705,J03396,,2021-06-04 00:00:00,,2021-09-16 00:00:00,2021-06-04 00:00:00,2021-10-04 08:00:00,CLOSED
300388D.002,,242631,J03610,,2021-01-08 00:00:00,,2021-09-16 00:00:00,2021-01-08 00:00:00,2021-10-04 08:00:00,CLOSED
300388D.002,,246417,J04083,,2021-07-24 00:00:00,,2022-01-26 00:00:00,2021-07-24 00:00:00,2022-02-03 09:00:00,CLOSED
300388D.002,RCZ,248410,J03688,,2021-10-15T08:00:00,,2022-01-10 00:00:00,2022-01-06 00:00:00,2022-02-03 09:00:00,CLOSED
300388D.002,,250128,J00395,,2022-01-10 00:00:00,,2022-01-26 00:00:00,2022-01-10 00:00:00,2022-02-03 09:00:00,CLOSED
300388D.002,,250132,J03416,,2022-01-19 00:00:00,,2022-02-02 00:00:00,2022-01-19 00:00:00,,CLOSED
300388D.002,RCF,252335,J02861,,2022-01-24T09:00:00,,2022-02-01 00:00:00,2022-01-24 00:00:00,2022-02-18 00:00:00,CLOSED
300388D.002,RCF,251308,J03627,,2022-01-20T09:00:00,,2022-01-31 00:00:00,2022-01-20 00:00:00,2021-09-17 08:00:00,CLOSED
300388D.002,RCZ,258343,J03257,,2022-02-08T09:00:00,,2022-02-01 00:00:00,2022-02-08 00:00:00,2022-03-01 00:00:00,CLOSED
300388D.002,,258355,SJ03899,,2022-02-08 00:00:00,,2022-02-17 00:00:00,2022-02-08 00:00:00,2022-03-01 00:00:00,CLOSED
300388D.002,,246921,J03421,,2021-08-17 00:00:00,,2021-12-14 00:00:00,2021-08-17 00:00:00,2021-12-23 09:00:00,CLOSED
300388D.002,,246696,J03956,,2021-07-28 00:00:00,,2021-09-27 00:00:00,2021-07-28 00:00:00,2021-10-04 08:00:00,CLOSED
300388D.002,,246022,J03204,,2021-06-24 00:00:00,,2021-09-20 00:00:00,2021-06-24 00:00:00,2021-10-04 08:00:00,CLOSED
300388D.002,RCZ,246019,J02971,,2021-06-24T08:00:00,,2021-09-22 00:00:00,2021-06-24 00:00:00,2021-09-29 08:00:00,CLOSED
300388D.002,,241869,J04297,,2020-11-06 00:00:00,,2020-12-29 00:00:00,2020-11-06 00:00:00,2021-03-05 09:00:00,CLOSED
300388D.002,,247899,SJ02788,,2021-09-28 00:00:00,,2021-12-20 00:00:00,2021-09-28 00:00:00,2021-12-22 09:00:00,CLOSED
300388D.002,RCZ,247226,SJ03442,,2021-08-17T08:00:00,,2021-12-09 00:00:00,2021-08-17 00:00:00,2021-12-22 09:00:00,CLOSED
300388D.002,RCZ,246919,J03140,,2021-08-11T08:00:00,,2021-12-17 00:00:00,2021-08-11 00:00:00,2021-12-22 09:00:00,CLOSED
300388D.002,,246922,SJ03817,,2021-08-17 00:00:00,,2021-10-18 00:00:00,2021-08-17 00:00:00,2021-11-03 08:00:00,CLOSED
300388D.002,RCZ,246021,J01533,,2021-06-24T08:00:00,,2021-10-15 00:00:00,2021-06-24 00:00:00,2021-10-26 08:00:00,CLOSED
300388D.002,RCZ,245215,J03342,,2021-05-04T07:00:00,,2021-06-29 00:00:00,2021-05-04 00:00:00,2021-07-16 08:00:00,CLOSED
300388D.002,,244110,SJ03889,,2021-03-23 00:00:00,,2021-07-01 00:00:00,2021-03-23 00:00:00,2021-07-16 08:00:00,CLOSED
300388D.002,,246418,J03614,,2021-07-17 00:00:00,,2021-10-18 00:00:00,2021-07-17 00:00:00,2021-12-30 09:00:00,CLOSED
300388D.002,RCZ,245214,J02666,,2021-05-04T07:00:00,,2021-12-08 00:00:00,2021-05-04 00:00:00,2021-12-20 09:00:00,CLOSED
300388D.002,,243278,J03999,,2021-02-06 00:00:00,,2021-12-14 00:00:00,2021-02-06 00:00:00,2021-12-22 09:00:00,CLOSED
300388D.002,RCZ,246920,SJ03071,,2021-08-17T08:00:00,,2021-12-15 00:00:00,2021-08-17 00:00:00,2022-01-10 09:00:00,CLOSED
300388D.002,RCZ,248174,J00263,,2021-10-05T08:00:00,,2021-12-17 00:00:00,2021-10-05 00:00:00,2022-01-10 09:00:00,CLOSED
300388D.002,RCZ,246697,J03201,,2021-07-28T08:00:00,,2021-10-29 00:00:00,2021-07-28 00:00:00,2021-11-10 00:00:00,CLOSED
300388D.002,RCZ,245213,JO3579,,2021-05-04T07:00:00,,2021-11-01 00:00:00,2021-05-04 00:00:00,2021-11-04 08:00:00,CLOSED
300388D.002,,246419,SJ02599,,2021-07-14 00:00:00,,2021-10-27 00:00:00,2021-07-14 00:00:00,2021-11-10 00:00:00,CLOSED
300388D.002,RCZ,245638,J01900,,2021-05-26T08:00:00,,,2021-05-26 00:00:00,,CLOSED
300388D.002,RCZ,238082,J02259,,2020-03-24T08:00:00,,,2020-03-24 00:00:00,,CLOSED
300388D.002,,249132,J03497,,2021-12-02 00:00:00,,2022-01-03 00:00:00,2021-12-02 00:00:00,2022-01-10 09:00:00,CLOSED
300388D.002,RCZ,245431,J01849,,2021-05-17T08:00:00,,2021-12-23 00:00:00,2021-05-17 00:00:00,2022-01-10 09:00:00,CLOSED
300388D.002,RCZ,245639,J01363,,2021-05-26T08:00:00,,2021-12-22 00:00:00,2021-05-26 00:00:00,2022-01-10 09:00:00,CLOSED
300388D.002,RCZ,248337,J00908,,2021-10-13T08:00:00,,SUMITOMO,2021-10-02 00:00:00,2020-09-04 08:00:00,CLOSED
300388D.002,RCZ,249011,J01633,,2021-11-05T08:00:00,,SUMITOMO,2021-11-05 00:00:00,2022-02-01 00:00:00,CLOSED
300388D.002,RCZ,249007,J03957,,2021-11-08T09:00:00,,SUMITOMO,2021-11-08 00:00:00,2020-04-16 08:00:00,CLOSED
300388D.002,RCZ,249006,J03669,,2021-11-09T09:00:00,,SUMITOMO,2021-11-09 00:00:00,2022-02-01 00:00:00,CLOSED
300388D.002,RCZ,249767,J03355,,2021-12-14T09:00:00,,2021-01-13 00:00:00,2021-12-14 00:00:00,2022-02-03 09:00:00,CLOSED
300388D.002,RCZ,249764,J03086,,2021-12-14T09:00:00,,2021-01-12 00:00:00,2021-12-14 00:00:00,2022-02-03 09:00:00,CLOSED
300388D.002,RCZ,248338,J03029,,2021-10-13T08:00:00,,SUMITOMO,2021-10-13 00:00:00,2022-02-01 00:00:00,CLOSED
300388D.002,RCZ,245718,J02861,,2021-06-04T08:00:00,,2021-10-22 00:00:00,2021-10-28 00:00:00,2022-02-18 00:00:00,CLOSED
300388D.002,RCZ,248340,SJ03785,,2021-10-13T08:00:00,,2022-01-13 00:00:00,2021-10-13 00:00:00,2020-10-22 08:00:00,CLOSED
300388D.002,RCZ,249770,J01810,,2021-12-14T09:00:00,,2022-01-13 00:00:00,2021-12-14 00:00:00,2022-01-21 00:00:00,CLOSED
300388D.002,,258356,SJ02868,,2022-02-08 00:00:00,,2022-02-22 00:00:00,2022-02-08 00:00:00,,CLOSED
300388D.002,,258354,J02258,,2022-02-08 00:00:00,,2022-02-22 00:00:00,2022-02-08 00:00:00,,CLOSED
300388D.002,,ZVREP289348,J02302,,,,,2022-08-01 00:00:00,,COMPLETE
300388D.002,,ZVREP294357,J03208,,,,,2022-07-28 00:00:00,,COMPLETE
300388D.002,,ZVREP304365,J02716,,,,,2022-07-28 00:00:00,,COMPLETE
300388D.002,,ZVREP304366,J02056,,,,,2022-07-26 00:00:00,,COMPLETE
300388D.002,,ZVREP304370,J03195,,,,,2022-07-26 00:00:00,,COMPLETE
303388D.002,,ZVREP311335,J01663,,,,,2022-08-09 00:00:00,,COMPLETE
303388D.002,,332332,SJ3707,,2022-08-24 00:00:00,,,2022-09-22 00:00:00,,COMPLETE
303388D.002,,318361,J02968,,2022-07-20 00:00:00,,,2022-09-22 00:00:00,,COMPLETE
303388D.002,,318362,J01884,,2022-07-20 00:00:00,,,2022-09-15 00:00:00,,COMPLETE
303388D.002,,321345,J03421,,2022-07-26 00:00:00,,,2022-09-22 00:00:00,,COMPLETE
303388D.002,,338466,J02788,,2022-06-03 00:00:00,,,2022-10-07 00:00:00,,COMPLETE
303388D.002,,326356,J03633,,2022-08-10 00:00:00,,,2022-10-07 00:00:00,,COMPLETE
303388D.002,,330396,J01574,,2022-08-19 00:00:00,,,2022-10-07 00:00:00,,COMPLETE
303388D.002,,326360,J03870,,2022-08-10 00:00:00,,,2022-09-08 00:00:00,,COMPLETE
303388D.002,,326361,J04043,,2022-08-10 00:00:00,,,2022-09-08 00:00:00,,COMPLETE
303388D.002,,332333,SJ03914,,2022-08-24 00:00:00,,,2022-09-08 00:00:00,,COMPLETE
303388D.002,,323453,J02413,,2022-08-02 00:00:00,,,2022-08-02 00:00:00,,COMPLETE
303388D.002,,280359,J03996,,2022-04-08 00:00:00,,,2022-07-14 00:00:00,,COMPLETE
303388D.002,,289350,J03608,,2022-05-02 00:00:00,,,2022-07-14 00:00:00,,COMPLETE
303388D.002,,301335,SJ04095,,2022-07-14 00:00:00,,,2022-07-14 00:00:00,,COMPLETE
303388D.002,,258356,SJ02868,,2022-02-08 00:00:00,,,2022-02-08 00:00:00,,COMPLETE
303388D.002,,258354,J02258,,2022-02-08 00:00:00,,,2022-02-08 00:00:00,,COMPLETE
303388D.002,,274364,J03708,,2022-03-23 00:00:00,,,2022-04-21 00:00:00,,COMPLETE
303388D.002,,248339,J03292,,,,,2022-03-08 00:00:00,,COMPLETE
303388D.002,,249046,J04025,,,,,2022-03-28 00:00:00,,COMPLETE
303388D.002,,267349,J03454,,2022-03-08 00:00:00,,,2022-03-28 00:00:00,,COMPLETE
303388D.002,,274365,J03259,,2022-03-23 00:00:00,,,2022-04-18 00:00:00,,COMPLETE
303388D.002,,274375,J03197,,2022-03-23 00:00:00,,,2022-04-18 00:00:00,,COMPLETE
303388D.002,,338485,J03708,,2022-09-21 00:00:00,,2022-10-12 00:00:00,2022-10-13 00:00:00,2022-10-21 00:00:00,COMPLETE
303388D.002,,338481,J01858,,2022-09-21 00:00:00,,2022-10-12 00:00:00,2022-10-13 00:00:00,2022-10-21 00:00:00,COMPLETE
303388D.002,,338482,SJ03785,,2022-09-21 00:00:00,,2022-10-13 00:00:00,2022-10-19 00:00:00,2022-10-21 00:00:00,COMPLETE
303388D.002,,350557,J02818,,2022-10-25 00:00:00,,2022-10-20 00:00:00,2022-10-25 00:00:00,,COMPLETE
303388D.002,,338483,SJC2436,,2022-09-21 00:00:00,,2022-10-20 00:00:00,2022-10-25 00:00:00,,COMPLETE
303388D.002,,348525,SJ03914,,2022-10-20 00:00:00,GPR,,2022-11-10 00:00:00,,COMPLETE
303388D.002,,345470,J02413,,2022-10-06 00:00:00,GPR,,2022-11-15 00:00:00,,COMPLETE
303388D.002,,348542,SJ03908,,2022-10-20 00:00:00,2022-11-14 00:00:00,2022-12-12 00:00:00,2023-01-06 00:00:00,2022-01-05 00:00:00,COMPLETE
303388D.002,,342475,J04335,,2022-09-29 00:00:00,2022-11-10 00:00:00,2022-12-14 00:00:00,2023-01-07 00:00:00,2022-01-07 00:00:00,COMPLETE
303388D.002,,326355,J00549,,2022-08-10 00:00:00,,2022-09-02 00:00:00,2023-01-07 00:00:00,2022-01-07 00:00:00,COMPLETE
303388D.002,,342476,J04333,,2022-09-29 00:00:00,2022-11-10 00:00:00,11/31/2022,2023-01-07 00:00:00,2022-01-07 00:00:00,COMPLETE
303388D.002,,346481,SJ04131,,2022-10-12 00:00:00,2022-11-10 00:00:00,2022-12-05 00:00:00,2023-01-07 00:00:00,2022-01-07 00:00:00,COMPLETE
303388D.002,,348523,J02268,,2022-10-19 00:00:00,2022-11-14 00:00:00,2022-11-30 00:00:00,2023-01-07 00:00:00,2022-01-07 00:00:00,COMPLETE
303388D.002,,338484,J03944,,2022-09-21 00:00:00,,2023-01-23 00:00:00,2023-01-24 00:00:00,2023-02-03 00:00:00,COMPLETE
303388D.002,,338486,J01768,,2022-09-21 00:00:00,,2023-01-23 00:00:00,2023-01-24 00:00:00,2023-02-03 00:00:00,COMPLETE
300388D.002,,348524,J04074,,2022-10-19 00:00:00,2022-11-14 00:00:00,2023-01-24 00:00:00,2023-01-25 00:00:00,2023-02-03 00:00:00,COMPLETE
300388D.002,RCZ,304368,J01887,,2022-06-14T08:00:00,,2023-01-24 00:00:00,2023-01-25 00:00:00,2023-02-03 00:00:00,COMPLETE
300388D.002,,346480,SJ02855,,2022-10-12 00:00:00,2022-11-10 00:00:00,2023-01-25 00:00:00,2023-01-31 00:00:00,2023-02-03 00:00:00,COMPLETE
300388D.002,,356661,SJ04026,,2022-11-15 19:01:43,2023-01-09 00:00:00,2023-02-01 00:00:00,2023-02-03 00:00:00,,PASS
300388D.002,,364534,SJ03986,,44904.0438194444,1/9/2023,,2023-02-03 00:00:00,,PASS
300388D.002,RCZ,346479,J01230,,2022-10-12T08:00:00,2022-11-14 00:00:00,2023-01-25 00:00:00,2023-03-07 00:00:00,,PASS
300388D.002,RCZ,356660,J02082,,2022-11-15T09:00:00,,,2023-03-07 00:00:00,,PASS
300388D.002,RCZ,364537,J01574,,2022-12-08T09:00:00,2022-01-09 00:00:00,,2023-03-07 00:00:00,,PASS
300388D.002,RCZ,356662,J03583,,2022-11-15T09:00:00,2022-12-02 00:00:00,,2023-03-07 00:00:00,,PASS
300388D.002,RCZ,378725,J03197,,2023-01-24T09:00:00,,2023-03-10 00:00:00,2023-03-22 00:00:00,,COMPLETE
300388D.002,RCZ,364469,J03195,,2022-12-07T09:00:00,,2023-03-09 00:00:00,2023-03-22 00:00:00,,COMPLETE
300388D.002,RCZ,378723,J01998,,2023-01-24T09:00:00,,2023-03-14 00:00:00,2023-03-22 00:00:00,,COMPLETE
300388D.002,,378720,J01095,,2023-01-24 00:54:58,,2023-03-14 00:00:00,2023-03-22 00:00:00,,COMPLETE
300388D.002,RCZ,382473,SJ03482,,2023-02-07T09:00:00,,2023-03-28 00:00:00,2023-03-29 00:00:00,45037,COMPLETE
300388D.002,RCZ,378718,J02838,,2023-01-24T09:00:00,,2023-03-15 00:00:00,2023-03-27 00:00:00,45037,COMPLETE
300388D.002,,390479,J03246,,2023-03-02 00:00:00,,2023-03-27 00:00:00,2023-03-27 00:00:00,45037,COMPLETE
300388D.002,,378715,J30579,,2023-01-24 00:00:00,,2023-03-29 00:00:00,2023-04-17 00:00:00,45037,COMPLETE
300388D.002,RCZ,378722,J01991,,2023-01-24T09:00:00,,2023-03-23 00:00:00,2023-03-27 00:00:00,45037,COMPLETE
300388D.002,RCZ,387473,J03185,,2023-02-21T09:00:00,,2023-03-23 00:00:00,2023-03-27 00:00:00,45037,COMPLETE
300388D.002,RCZ,378714,J01849,,2023-01-23T09:00:00,,2023-03-23 00:00:00,2023-03-27 00:00:00,45037,COMPLETE
300388D.002,,390481,J03755,,2023-03-02 00:00:00,,2023-04-12 00:00:00,2023-04-20 00:00:00,,COMPLETE
300388D.002,RCZ,371504,J03838,,2023-01-04T09:00:00,,2023-04-12 00:00:00,2023-04-20 00:00:00,,COMPLETE
300388D,,402538,J04466,,2023-04-20 00:00:00,,,2023-04-21 00:00:00,,COMPLETE
300388D.002,,382470,J00716,,2023-02-07 00:00:00,,2023-04-21 00:00:00,2023-04-26 00:00:00,,COMPLETE
300388D.002,,382470,J00716,,2023-02-07 00:00:00,,2023-04-21 00:00:00,2023-04-26 00:00:00,,COMPLETE
300388D.002,RCZ,382474,J01812,,2023-02-07T09:00:00,,2023-04-21 00:00:00,2023-05-09 00:00:00,,COMPLETE
300388D.002,RCF,402532,SJ04026,,2023-04-19T07:00:00,,2023-04-26 00:00:00,2023-05-09 00:00:00,,COMPLETE
300388D.002,,398517,J03636,,2023-03-29 00:00:00,2023-04-20 00:00:00,2023-05-09 00:00:00,2023-05-10 00:00:00,,COMPLETE
300388D.002,,398518,J01109,,2023-03-29 00:00:00,2023-04-20 00:00:00,2023-05-09 00:00:00,2023-05-10 00:00:00,,COMPLETE
300388D.002,RCZ,398520,J03191,,2023-03-29T07:00:00,2023-04-21 00:00:00,2023-05-10 00:00:00,2023-05-30 00:00:00,,COMPLETE
300388D.002,,395501,J03252,,2023-03-21 00:00:00,2023-04-21 00:00:00,2023-05-10 00:00:00,2023-05-30 00:00:00,,COMPLETE
300388D.002,RCZ,395500,SJ03515,,2023-03-21T07:00:00,2023-04-21 00:00:00,2023-05-23 00:00:00,2023-05-30 00:00:00,,COMPLETE
300388D.002,RCF,407493,J01230,,2023-05-04T08:00:00,,,2023-07-20 00:00:00,2023-07-21 00:00:00,COMPLETE
300388D.002,RCF,408507,J03583,,2023-05-10T08:00:00,,,2023-07-20 00:00:00,2023-07-21 00:00:00,COMPLETE
300388D.002,,406525,SJ04018,,2023-05-02 21:53:24,,2023-08-09 00:00:00,2023-08-14 00:00:00,2023-09-07 00:00:00,COMPLETE
300388D.002,RCZ,398519,J04032,,2023-03-29T07:00:00,,2023-07-30 00:00:00,2023-08-14 00:00:00,2023-09-07 00:00:00,COMPLETE
300388D.002,,402544,SJ03452,,2023-04-20 16:40:44,2023-04-24 00:00:00,2023-08-09 00:00:00,2023-08-14 00:00:00,2023-09-07 00:00:00,COMPLETE
300388D.002,RCZ,338480,J02115,,2022-09-21T08:00:00,,2023-07-05 00:00:00,2023-08-14 00:00:00,2023-09-07 00:00:00,COMPLETE
300388D.002,RCZ,409512,J03004,,2023-05-11T08:00:00,2023-10-20 00:00:00,45232,11/14/2023.,,
300388D.002,,UNKNOWN,J00716,,2023-04-26,?,,,,
300388D.002,RCZ,409513,J03817,,2023-05-11T08:00:00,,45233,11/14/2023.,,
300388D.002,,UNKNOWN,J01710,,?,?,,,,
300388D.002,,398517,J03636,,2023-03-29 00:00:00,2023-04-20 00:00:00,2023-05-09 00:00:00,2023-05-10 00:00:00,,COMPLETE
300388D.002,RCZ,406526,J03372,,2023-05-02T08:00:00,,2023-12-05 00:00:00,2023-12-11 00:00:00,,COMPLETE
300388D.002,RCZ,415481,J01205,,2023-06-01T08:00:00,2023-10-23 00:00:00,2023-12-05 00:00:00,2023-12-11 00:00:00,,COMPLETE
300388D.002,,390480,J03517,,2023-03-02 20:00:04,,,2023-12-01 00:00:00,,COMPLETE
300388D.002,RCZ,420505,J03150,,2023-06-16T08:00:00,,,2023-12-01 00:00:00,,COMPLETE
300388D.002,RCZ,415482,J02985,,2023-06-01T08:00:00,,,2023-12-01 00:00:00,,COMPLETE
300388D.002,RCZ,437650,J03157,,2023-08-16T08:00:00,,,2023-12-01 00:00:00,,COMPLETE
300388D.002,RCZ,437649,J04074,,2023-08-16T08:00:00,,,2023-12-01 00:00:00,,COMPLETE
300388D.002,,437648,J02818,,2023-08-16 00:00:00,,,2024-01-20 00:00:00,,
300388D.002,,401479,J03154,,2023-04-11 00:00:00,,,2024-01-20 00:00:00,,COMPLETE
300388D.002,RCZ,406529,J03528,,2023-05-02T08:00:00,2023-05-23 00:00:00,,RZ/FG,,COMPLETE
300388D.002,,420504,J01695,,2023-06-16 00:00:00,,,RZ,,COMPLETE
300388D.002,,428522,J04015,,2023-07-13 00:00:00,2023-08-13 00:00:00,,RZ,,COMPLETE
300388D.002,RCZ,437644,J03816,,2023-08-16T08:00:00,,,RZ,,COMPLETE
300388D.002,,428523,SJ01800,,2023-07-13 00:00:00,,,RZ,,COMPLETE
300388D.002,,428524,J00992,,2023-07-13 00:00:00,2024-01-18 00:00:00,,RZ,,COMPLETE
300388D.002,,464677,J03252,,2023-11-08 00:00:00,2024-02-14 00:00:00,,2024-02-23 00:00:00,,COMPLETE
300388D.002,,458752,J04255,,2023-10-17 00:00:00,2024-02-14 00:00:00,,2024-02-23 00:00:00,,COMPLETE
300388D.002,RCZ,454619,J03257,,2023-10-03T08:00:00,2024-02-14 00:00:00,,2024-02-23 00:00:00,,COMPLETE
300388D.002,RCZ,464676,J03086,,2023-11-08T09:00:00,2024-02-14 00:00:00,,2024-02-23 00:00:00,,COMPLETE
300388D.002,,450617,J03875,,2023-09-21 00:00:00,2024-02-14 00:00:00,,2024-02-23 00:00:00,,COMPLETE
300388D.002,,454620,J03943,,2023-10-03 00:00:00,2024-02-14 00:00:00,,2024-02-23 00:00:00,,COMPLETE
300388D.002,RCZ,431612,J01259,,2023-07-26T08:00:00,,,,,COMPLETE
300388D.002,,441630,J02610,,,,,,,COMPLETE
300388D.002,,441629,J04004,,,,,,,COMPLETE
300388D.002,RCZ,450616,J04258,,2023-09-21T08:00:00,,,,,COMPLETE
300388D.002,RCZ,454617,J01849,,2023-10-03T08:00:00,,,,,COMPLETE
300388D.002,,490724,J02612,,,,,,,COMPLETE
300388D.002,RCZ,488700,J02535,,2024-02-26T09:00:00,,,,,COMPLETE
